County,Adjusted Gross Income,Number of Returns,Total Salaries & Wages
"Warren County, VA","10,000 - $24,999",3890.0,51283.0
"Warren County, VA","25,000 - $49,999",4030.0,119825.0
"Warren County, VA","50,000 - $74,999",2730.0,132927.0
"Warren County, VA","75,000 - $99,999",1910.0,129933.0
"Warren County, VA","100,000 - $199,999",2550.0,266030.0
"Warren County, VA","$200,000 or more",390.0,68934.0
"Washington County, VA",Under $1,300.0,1748.0
"Washington County, VA","1 - $9,999",3610.0,15071.0
"Washington County, VA","10,000 - $24,999",5380.0,67551.0
"Washington County, VA","25,000 - $49,999",5650.0,159356.0
"Washington County, VA","50,000 - $74,999",3140.0,144639.0
"Washington County, VA","75,000 - $99,999",1850.0,116261.0
"Washington County, VA","100,000 - $199,999",1990.0,184618.0
"Washington County, VA","$200,000 or more",590.0,126823.0
"Westmoreland Count, VA",Under $1,120.0,553.0
"Westmoreland Count, VA","1 - $9,999",1200.0,4878.0
"Westmoreland Count, VA","10,000 - $24,999",2100.0,26998.0
"Westmoreland Count, VA","25,000 - $49,999",2030.0,52717.0
"Westmoreland Count, VA","50,000 - $74,999",1150.0,47997.0
"Westmoreland Count, VA","75,000 - $99,999",760.0,43217.0
"Westmoreland Count, VA","100,000 - $199,999",840.0,69939.0
"Westmoreland Count, VA","$200,000 or more",140.0,21050.0
"Wise County, VA",Under $1,110.0,656.0
"Wise County, VA","1 - $9,999",2570.0,11388.0
"Wise County, VA","10,000 - $24,999",3700.0,47921.0
"Wise County, VA","25,000 - $49,999",3320.0,96887.0
"Wise County, VA","50,000 - $74,999",1940.0,99211.0
"Wise County, VA","75,000 - $99,999",1110.0,76901.0
"Wise County, VA","100,000 - $199,999",920.0,87275.0
"Wise County, VA","$200,000 or more",180.0,36712.0
"Wythe County, VA",Under $1,160.0,716.0
"Wythe County, VA","1 - $9,999",2010.0,8638.0
"Wythe County, VA","10,000 - $24,999",3260.0,43306.0
"Wythe County, VA","25,000 - $49,999",3200.0,96394.0
"Wythe County, VA","50,000 - $74,999",1850.0,90156.0
"Wythe County, VA","75,000 - $99,999",1080.0,72227.0
"Wythe County, VA","100,000 - $199,999",840.0,74241.0
"Wythe County, VA","$200,000 or more",160.0,23179.0
"York County, VA",Under $1,300.0,4290.0
"York County, VA","1 - $9,999",4150.0,17819.0
"York County, VA","10,000 - $24,999",5030.0,67782.0
"York County, VA","25,000 - $49,999",6170.0,179989.0
"York County, VA","50,000 - $74,999",4360.0,195159.0
"York County, VA","75,000 - $99,999",3560.0,219268.0
"York County, VA","100,000 - $199,999",6510.0,624084.0
"York County, VA","$200,000 or more",1580.0,334761.0
"Alexandria city, VA",Under $1,780.0,9998.0
"Alexandria city, VA","1 - $9,999",7000.0,28675.0
"Alexandria city, VA","10,000 - $24,999",11750.0,166285.0
"Alexandria city, VA","25,000 - $49,999",16600.0,550129.0
"Alexandria city, VA","50,000 - $74,999",13050.0,706622.0
"Alexandria city, VA","75,000 - $99,999",9530.0,698321.0
"Alexandria city, VA","100,000 - $199,999",16050.0,1770454.0
"Alexandria city, VA","$200,000 or more",8450.0,2170389.0
"Bristol city, VA",Under $1,90.0,0.0
"Bristol city, VA","1 - $9,999",1380.0,6200.0
"Bristol city, VA","10,000 - $24,999",2020.0,26037.0
"Bristol city, VA","25,000 - $49,999",1740.0,48767.0
"Bristol city, VA","50,000 - $74,999",880.0,40487.0
"Bristol city, VA","75,000 - $99,999",510.0,32207.0
"Bristol city, VA","100,000 - $199,999",430.0,36940.0
"Bristol city, VA","$200,000 or more",70.0,13239.0
"Buena Vista city, VA",Under $1,30.0,0.0
"Buena Vista city, VA","1 - $9,999",560.0,2768.0
"Buena Vista city, VA","10,000 - $24,999",790.0,11138.0
"Buena Vista city, VA","25,000 - $49,999",780.0,23575.0
"Buena Vista city, VA","50,000 - $74,999",350.0,17178.0
"Buena Vista city, VA","75,000 - $99,999",200.0,13555.0
"Buena Vista city, VA","100,000 - $199,999",120.0,11211.0
"Buena Vista city, VA","$200,000 or more",0.0,0.0
"Charlottesville ci, VA",Under $1,310.0,2885.0
"Charlottesville ci, VA","1 - $9,999",2980.0,13391.0
"Charlottesville ci, VA","10,000 - $24,999",4700.0,68348.0
"Charlottesville ci, VA","25,000 - $49,999",5110.0,158757.0
"Charlottesville ci, VA","50,000 - $74,999",2520.0,118881.0
"Charlottesville ci, VA","75,000 - $99,999",1440.0,91561.0
"Charlottesville ci, VA","100,000 - $199,999",2220.0,209053.0
"Charlottesville ci, VA","$200,000 or more",1040.0,262089.0
"Chesapeake city, VA",Under $1,820.0,7282.0
"Chesapeake city, VA","1 - $9,999",14610.0,68297.0
"Chesapeake city, VA","10,000 - $24,999",22030.0,305740.0
"Chesapeake city, VA","25,000 - $49,999",25770.0,777529.0
"Chesapeake city, VA","50,000 - $74,999",15880.0,756199.0
"Chesapeake city, VA","75,000 - $99,999",11120.0,742542.0
"Chesapeake city, VA","100,000 - $199,999",16980.0,1772975.0
"Chesapeake city, VA","$200,000 or more",3200.0,693911.0
"Colonial Heights c, VA",Under $1,80.0,0.0
"Colonial Heights c, VA","1 - $9,999",1270.0,5636.0
"Colonial Heights c, VA","10,000 - $24,999",2060.0,26934.0
"Colonial Heights c, VA","25,000 - $49,999",2380.0,67216.0
"Colonial Heights c, VA","50,000 - $74,999",1300.0,53944.0
"Colonial Heights c, VA","75,000 - $99,999",810.0,45691.0
"Colonial Heights c, VA","100,000 - $199,999",900.0,78372.0
"Colonial Heights c, VA","$200,000 or more",100.0,12556.0
"Covington city, VA",Under $1,0.0,0.0
"Covington city, VA","1 - $9,999",480.0,1994.0
"Covington city, VA","10,000 - $24,999",820.0,10789.0
"Covington city, VA","25,000 - $49,999",730.0,19982.0
"Covington city, VA","50,000 - $74,999",390.0,18709.0
"Covington city, VA","75,000 - $99,999",210.0,13949.0
"Covington city, VA","100,000 - $199,999",150.0,14691.0
"Covington city, VA","$200,000 or more",0.0,0.0
"Danville city, VA",Under $1,210.0,810.0
"Danville city, VA","1 - $9,999",3450.0,15478.0
"Danville city, VA","10,000 - $24,999",6160.0,81835.0
"Danville city, VA","25,000 - $49,999",4510.0,128176.0
"Danville city, VA","50,000 - $74,999",1920.0,85119.0
"Danville city, VA","75,000 - $99,999",930.0,52273.0
"Danville city, VA","100,000 - $199,999",880.0,69986.0
"Danville city, VA","$200,000 or more",270.0,45260.0
"Emporia city, VA",Under $1,60.0,0.0
"Emporia city, VA","1 - $9,999",510.0,2550.0
"Emporia city, VA","10,000 - $24,999",940.0,13909.0
"Emporia city, VA","25,000 - $49,999",690.0,20721.0
"Emporia city, VA","50,000 - $74,999",220.0,10174.0
"Emporia city, VA","75,000 - $99,999",110.0,7059.0
"Emporia city, VA","100,000 - $199,999",120.0,12115.0
"Emporia city, VA","$200,000 or more",20.0,0.0
"Fairfax city, VA",Under $1,140.0,1128.0
"Fairfax city, VA","1 - $9,999",1580.0,6170.0
"Fairfax city, VA","10,000 - $24,999",1890.0,25157.0
"Fairfax city, VA","25,000 - $49,999",2260.0,67102.0
"Fairfax city, VA","50,000 - $74,999",1510.0,72063.0
"Fairfax city, VA","75,000 - $99,999",1200.0,74346.0
"Fairfax city, VA","100,000 - $199,999",2570.0,264364.0
"Fairfax city, VA","$200,000 or more",1150.0,244548.0
"Falls Church city, VA",Under $1,80.0,655.0
"Falls Church city, VA","1 - $9,999",670.0,2469.0
"Falls Church city, VA","10,000 - $24,999",640.0,7966.0
"Falls Church city, VA","25,000 - $49,999",880.0,25622.0
"Falls Church city, VA","50,000 - $74,999",780.0,38267.0
"Falls Church city, VA","75,000 - $99,999",640.0,42033.0
"Falls Church city, VA","100,000 - $199,999",1510.0,165760.0
"Falls Church city, VA","$200,000 or more",1230.0,316066.0
"Franklin city, VA",Under $1,30.0,0.0
"Franklin city, VA","1 - $9,999",650.0,3111.0
"Franklin city, VA","10,000 - $24,999",1110.0,15600.0
"Franklin city, VA","25,000 - $49,999",980.0,27842.0
"Franklin city, VA","50,000 - $74,999",480.0,20994.0
"Franklin city, VA","75,000 - $99,999",250.0,14635.0
"Franklin city, VA","100,000 - $199,999",290.0,22224.0
"Franklin city, VA","$200,000 or more",80.0,11221.0
"Fredericksburg cit, VA",Under $1,140.0,1501.0
"Fredericksburg cit, VA","1 - $9,999",1670.0,7156.0
"Fredericksburg cit, VA","10,000 - $24,999",2910.0,41355.0
"Fredericksburg cit, VA","25,000 - $49,999",3110.0,97303.0
"Fredericksburg cit, VA","50,000 - $74,999",1600.0,77936.0
"Fredericksburg cit, VA","75,000 - $99,999",1010.0,68969.0
"Fredericksburg cit, VA","100,000 - $199,999",1620.0,163879.0
"Fredericksburg cit, VA","$200,000 or more",520.0,101863.0
"Galax city, VA",Under $1,30.0,0.0
"Galax city, VA","1 - $9,999",580.0,2609.0
"Galax city, VA","10,000 - $24,999",950.0,13216.0
"Galax city, VA","25,000 - $49,999",760.0,21884.0
"Galax city, VA","50,000 - $74,999",300.0,13944.0
"Galax city, VA","75,000 - $99,999",170.0,10292.0
"Galax city, VA","100,000 - $199,999",140.0,11253.0
"Galax city, VA","$200,000 or more",40.0,9923.0
"Hampton city, VA",Under $1,580.0,3010.0
"Hampton city, VA","1 - $9,999",9240.0,44776.0
"Hampton city, VA","10,000 - $24,999",16510.0,237530.0
"Hampton city, VA","25,000 - $49,999",18060.0,548956.0
"Hampton city, VA","50,000 - $74,999",9300.0,437034.0
"Hampton city, VA","75,000 - $99,999",5480.0,353503.0
"Hampton city, VA","100,000 - $199,999",5690.0,525092.0
"Hampton city, VA","$200,000 or more",710.0,126796.0
"Harrisonburg city, VA",Under $1,170.0,1520.0
"Harrisonburg city, VA","1 - $9,999",2920.0,14727.0
"Harrisonburg city, VA","10,000 - $24,999",4910.0,75141.0
"Harrisonburg city, VA","25,000 - $49,999",4870.0,150591.0
"Harrisonburg city, VA","50,000 - $74,999",1990.0,94852.0
"Harrisonburg city, VA","75,000 - $99,999",1090.0,68872.0
"Harrisonburg city, VA","100,000 - $199,999",1200.0,105141.0
"Harrisonburg city, VA","$200,000 or more",280.0,49902.0
"Hopewell city, VA",Under $1,80.0,0.0
"Hopewell city, VA","1 - $9,999",1640.0,7935.0
"Hopewell city, VA","10,000 - $24,999",3110.0,43192.0
"Hopewell city, VA","25,000 - $49,999",2950.0,87769.0
"Hopewell city, VA","50,000 - $74,999",1250.0,57092.0
"Hopewell city, VA","75,000 - $99,999",680.0,42449.0
"Hopewell city, VA","100,000 - $199,999",540.0,47578.0
"Hopewell city, VA","$200,000 or more",40.0,4572.0
"Lexington city, VA",Under $1,40.0,666.0
"Lexington city, VA","1 - $9,999",330.0,1259.0
"Lexington city, VA","10,000 - $24,999",500.0,6199.0
"Lexington city, VA","25,000 - $49,999",510.0,12953.0
"Lexington city, VA","50,000 - $74,999",310.0,12336.0
"Lexington city, VA","75,000 - $99,999",190.0,9690.0
"Lexington city, VA","100,000 - $199,999",360.0,26544.0
"Lexington city, VA","$200,000 or more",140.0,23050.0
"Lynchburg city, VA",Under $1,380.0,2053.0
"Lynchburg city, VA","1 - $9,999",5550.0,25812.0
"Lynchburg city, VA","10,000 - $24,999",8510.0,118749.0
"Lynchburg city, VA","25,000 - $49,999",7710.0,228166.0
"Lynchburg city, VA","50,000 - $74,999",3790.0,178422.0
"Lynchburg city, VA","75,000 - $99,999",2160.0,132414.0
"Lynchburg city, VA","100,000 - $199,999",2540.0,222255.0
"Lynchburg city, VA","$200,000 or more",940.0,203916.0
"Manassas city, VA",Under $1,120.0,1068.0
"Manassas city, VA","1 - $9,999",2660.0,11251.0
"Manassas city, VA","10,000 - $24,999",4280.0,59583.0
"Manassas city, VA","25,000 - $49,999",5020.0,160261.0
"Manassas city, VA","50,000 - $74,999",3170.0,165166.0
"Manassas city, VA","75,000 - $99,999",1800.0,128505.0
"Manassas city, VA","100,000 - $199,999",2800.0,305711.0
"Manassas city, VA","$200,000 or more",600.0,113022.0
"Manassas Park city, VA",Under $1,50.0,0.0
"Manassas Park city, VA","1 - $9,999",930.0,4389.0
"Manassas Park city, VA","10,000 - $24,999",1570.0,21215.0
"Manassas Park city, VA","25,000 - $49,999",1950.0,63481.0
"Manassas Park city, VA","50,000 - $74,999",1230.0,68889.0
"Manassas Park city, VA","75,000 - $99,999",700.0,54538.0
"Manassas Park city, VA","100,000 - $199,999",880.0,104411.0
"Manassas Park city, VA","$200,000 or more",150.0,32366.0
"Martinsville city, VA",Under $1,70.0,0.0
"Martinsville city, VA","1 - $9,999",1130.0,5727.0
"Martinsville city, VA","10,000 - $24,999",2090.0,29901.0
"Martinsville city, VA","25,000 - $49,999",1450.0,42963.0
"Martinsville city, VA","50,000 - $74,999",620.0,27848.0
"Martinsville city, VA","75,000 - $99,999",310.0,17483.0
"Martinsville city, VA","100,000 - $199,999",280.0,20936.0
"Martinsville city, VA","$200,000 or more",150.0,22839.0
"Newport News city, VA",Under $1,650.0,3478.0
"Newport News city, VA","1 - $9,999",12560.0,62164.0
"Newport News city, VA","10,000 - $24,999",22720.0,335541.0
"Newport News city, VA","25,000 - $49,999",23430.0,736165.0
"Newport News city, VA","50,000 - $74,999",11800.0,571471.0
"Newport News city, VA","75,000 - $99,999",6940.0,454220.0
"Newport News city, VA","100,000 - $199,999",6930.0,646927.0
"Newport News city, VA","$200,000 or more",1010.0,208744.0
"Norfolk city, VA",Under $1,990.0,6864.0
"Norfolk city, VA","1 - $9,999",16280.0,81262.0
"Norfolk city, VA","10,000 - $24,999",31690.0,465710.0
"Norfolk city, VA","25,000 - $49,999",28320.0,878180.0
"Norfolk city, VA","50,000 - $74,999",12170.0,589778.0
"Norfolk city, VA","75,000 - $99,999",6290.0,418978.0
"Norfolk city, VA","100,000 - $199,999",6940.0,660880.0
"Norfolk city, VA","$200,000 or more",2160.0,485676.0
"Norton city, VA",Under $1,0.0,0.0
"Norton city, VA","1 - $9,999",330.0,1394.0
"Norton city, VA","10,000 - $24,999",460.0,6627.0
"Norton city, VA","25,000 - $49,999",400.0,12155.0
"Norton city, VA","50,000 - $74,999",220.0,10550.0
"Norton city, VA","75,000 - $99,999",110.0,6803.0
"Norton city, VA","100,000 - $199,999",130.0,17362.0
"Norton city, VA","$200,000 or more",20.0,0.0
"Petersburg city, VA",Under $1,150.0,454.0
"Petersburg city, VA","1 - $9,999",2850.0,14521.0
"Petersburg city, VA","10,000 - $24,999",5680.0,82954.0
"Petersburg city, VA","25,000 - $49,999",4610.0,138985.0
"Petersburg city, VA","50,000 - $74,999",1540.0,70410.0
"Petersburg city, VA","75,000 - $99,999",730.0,43358.0
"Petersburg city, VA","100,000 - $199,999",580.0,48758.0
"Petersburg city, VA","$200,000 or more",60.0,8313.0
"Poquoson city, VA",Under $1,80.0,0.0
"Poquoson city, VA","1 - $9,999",830.0,4070.0
"Poquoson city, VA","10,000 - $24,999",820.0,9592.0
"Poquoson city, VA","25,000 - $49,999",1050.0,28211.0
"Poquoson city, VA","50,000 - $74,999",800.0,32966.0
"Poquoson city, VA","75,000 - $99,999",710.0,40724.0
"Poquoson city, VA","100,000 - $199,999",1320.0,125711.0
"Poquoson city, VA","$200,000 or more",340.0,78111.0
"Portsmouth city, VA",Under $1,370.0,3496.0
"Portsmouth city, VA","1 - $9,999",6370.0,32099.0
"Portsmouth city, VA","10,000 - $24,999",13450.0,189711.0
"Portsmouth city, VA","25,000 - $49,999",12670.0,380783.0
"Portsmouth city, VA","50,000 - $74,999",6260.0,298881.0
"Portsmouth city, VA","75,000 - $99,999",3230.0,212993.0
"Portsmouth city, VA","100,000 - $199,999",2970.0,280879.0
"Portsmouth city, VA","$200,000 or more",370.0,62752.0
"Radford city, VA",Under $1,40.0,0.0
"Radford city, VA","1 - $9,999",1130.0,5772.0
"Radford city, VA","10,000 - $24,999",1300.0,17752.0
"Radford city, VA","25,000 - $49,999",1140.0,33338.0
"Radford city, VA","50,000 - $74,999",590.0,28325.0
"Radford city, VA","75,000 - $99,999",430.0,28594.0
"Radford city, VA","100,000 - $199,999",480.0,44427.0
"Radford city, VA","$200,000 or more",100.0,21024.0
"Richmond city, VA",Under $1,1160.0,8664.0
"Richmond city, VA","1 - $9,999",16570.0,77559.0
"Richmond city, VA","10,000 - $24,999",27990.0,398416.0
"Richmond city, VA","25,000 - $49,999",26970.0,850940.0
"Richmond city, VA","50,000 - $74,999",10820.0,531000.0
"Richmond city, VA","75,000 - $99,999",5430.0,354013.0
"Richmond city, VA","100,000 - $199,999",7530.0,735931.0
"Richmond city, VA","$200,000 or more",3960.0,1059174.0
"Roanoke city, VA",Under $1,470.0,2421.0
"Roanoke city, VA","1 - $9,999",7750.0,34371.0
"Roanoke city, VA","10,000 - $24,999",13880.0,199186.0
"Roanoke city, VA","25,000 - $49,999",12930.0,391719.0
"Roanoke city, VA","50,000 - $74,999",5430.0,258197.0
"Roanoke city, VA","75,000 - $99,999",2680.0,167265.0
"Roanoke city, VA","100,000 - $199,999",2660.0,229571.0
"Roanoke city, VA","$200,000 or more",990.0,224372.0
"Salem city, VA",Under $1,110.0,740.0
"Salem city, VA","1 - $9,999",1720.0,7001.0
"Salem city, VA","10,000 - $24,999",2610.0,33356.0
"Salem city, VA","25,000 - $49,999",3020.0,86296.0
"Salem city, VA","50,000 - $74,999",1620.0,74184.0
"Salem city, VA","75,000 - $99,999",1080.0,68515.0
"Salem city, VA","100,000 - $199,999",1220.0,114683.0
"Salem city, VA","$200,000 or more",340.0,63017.0
"Staunton city, VA",Under $1,140.0,510.0
"Staunton city, VA","1 - $9,999",1760.0,7673.0
"Staunton city, VA","10,000 - $24,999",2850.0,36877.0
"Staunton city, VA","25,000 - $49,999",3160.0,89647.0
"Staunton city, VA","50,000 - $74,999",1610.0,70867.0
"Staunton city, VA","75,000 - $99,999",980.0,59682.0
"Staunton city, VA","100,000 - $199,999",890.0,70602.0
"Staunton city, VA","$200,000 or more",230.0,26857.0
"Suffolk city, VA",Under $1,340.0,3734.0
"Suffolk city, VA","1 - $9,999",5110.0,24129.0
"Suffolk city, VA","10,000 - $24,999",8200.0,111783.0
"Suffolk city, VA","25,000 - $49,999",8950.0,269781.0
"Suffolk city, VA","50,000 - $74,999",5780.0,278372.0
"Suffolk city, VA","75,000 - $99,999",4260.0,288544.0
"Suffolk city, VA","100,000 - $199,999",5920.0,605949.0
"Suffolk city, VA","$200,000 or more",1170.0,259720.0
"Virginia Beach cit, VA",Under $1,2330.0,29013.0
"Virginia Beach cit, VA","1 - $9,999",29000.0,133470.0
"Virginia Beach cit, VA","10,000 - $24,999",46100.0,660884.0
"Virginia Beach cit, VA","25,000 - $49,999",55610.0,1711899.0
"Virginia Beach cit, VA","50,000 - $74,999",31790.0,1506445.0
"Virginia Beach cit, VA","75,000 - $99,999",20820.0,1338965.0
"Virginia Beach cit, VA","100,000 - $199,999",28780.0,2760372.0
"Virginia Beach cit, VA","$200,000 or more",7940.0,1805486.0
"Waynesboro city, VA",Under $1,80.0,459.0
"Waynesboro city, VA","1 - $9,999",1570.0,6669.0
"Waynesboro city, VA","10,000 - $24,999",2710.0,37114.0
"Waynesboro city, VA","25,000 - $49,999",2870.0,85309.0
"Waynesboro city, VA","50,000 - $74,999",1420.0,65750.0
"Waynesboro city, VA","75,000 - $99,999",790.0,48807.0
"Waynesboro city, VA","100,000 - $199,999",750.0,62969.0
"Waynesboro city, VA","$200,000 or more",160.0,22320.0
"Williamsburg city, VA",Under $1,90.0,287.0
"Williamsburg city, VA","1 - $9,999",860.0,4148.0
"Williamsburg city, VA","10,000 - $24,999",1370.0,20275.0
"Williamsburg city, VA","25,000 - $49,999",1230.0,35239.0
"Williamsburg city, VA","50,000 - $74,999",610.0,24795.0
"Williamsburg city, VA","75,000 - $99,999",400.0,18090.0
"Williamsburg city, VA","100,000 - $199,999",670.0,41424.0
"Williamsburg city, VA","$200,000 or more",260.0,44642.0
"Winchester city, VA",Under $1,150.0,1040.0
"Winchester city, VA","1 - $9,999",2050.0,8933.0
"Winchester city, VA","10,000 - $24,999",3390.0,47935.0
"Winchester city, VA","25,000 - $49,999",3540.0,108833.0
"Winchester city, VA","50,000 - $74,999",1640.0,76210.0
"Winchester city, VA","75,000 - $99,999",880.0,53398.0
"Winchester city, VA","100,000 - $199,999",1220.0,110064.0
"Winchester city, VA","$200,000 or more",470.0,104580.0
"Adams County, WA",Under $1,90.0,501.0
"Adams County, WA","1 - $9,999",1000.0,4858.0
"Adams County, WA","10,000 - $24,999",2120.0,32274.0
"Adams County, WA","25,000 - $49,999",2780.0,85878.0
"Adams County, WA","50,000 - $74,999",1070.0,54197.0
"Adams County, WA","75,000 - $99,999",520.0,33577.0
"Adams County, WA","100,000 - $199,999",570.0,38274.0
"Adams County, WA","$200,000 or more",120.0,14601.0
"Asotin County, WA",Under $1,140.0,653.0
"Asotin County, WA","1 - $9,999",1420.0,5870.0
"Asotin County, WA","10,000 - $24,999",2270.0,28752.0
"Asotin County, WA","25,000 - $49,999",2400.0,63028.0
"Asotin County, WA","50,000 - $74,999",1430.0,59731.0
"Asotin County, WA","75,000 - $99,999",960.0,54211.0
"Asotin County, WA","100,000 - $199,999",1000.0,76966.0
"Asotin County, WA","$200,000 or more",220.0,37872.0
"Benton County, WA",Under $1,860.0,4375.0
"Benton County, WA","1 - $9,999",10400.0,46327.0
"Benton County, WA","10,000 - $24,999",16970.0,237113.0
"Benton County, WA","25,000 - $49,999",18370.0,535511.0
"Benton County, WA","50,000 - $74,999",11560.0,542804.0
"Benton County, WA","75,000 - $99,999",8730.0,576796.0
"Benton County, WA","100,000 - $199,999",13280.0,1359789.0
"Benton County, WA","$200,000 or more",2960.0,592578.0
"Chelan County, WA",Under $1,660.0,4006.0
"Chelan County, WA","1 - $9,999",5330.0,24546.0
"Chelan County, WA","10,000 - $24,999",8950.0,128467.0
"Chelan County, WA","25,000 - $49,999",9020.0,251918.0
"Chelan County, WA","50,000 - $74,999",4810.0,213436.0
"Chelan County, WA","75,000 - $99,999",3020.0,175378.0
"Chelan County, WA","100,000 - $199,999",3650.0,317352.0
"Chelan County, WA","$200,000 or more",1120.0,228367.0
"Clallam County, WA",Under $1,730.0,2732.0
"Clallam County, WA","1 - $9,999",4670.0,16698.0
"Clallam County, WA","10,000 - $24,999",7300.0,82051.0
"Clallam County, WA","25,000 - $49,999",8080.0,186285.0
"Clallam County, WA","50,000 - $74,999",5190.0,185146.0
"Clallam County, WA","75,000 - $99,999",3420.0,159083.0
"Clallam County, WA","100,000 - $199,999",3610.0,223230.0
"Clallam County, WA","$200,000 or more",750.0,81391.0
"Clark County, WA",Under $1,2850.0,20084.0
"Clark County, WA","1 - $9,999",24710.0,103934.0
"Clark County, WA","10,000 - $24,999",40660.0,535129.0
"Clark County, WA","25,000 - $49,999",48880.0,1410364.0
"Clark County, WA","50,000 - $74,999",31880.0,1505719.0
"Clark County, WA","75,000 - $99,999",22300.0,1473081.0
"Clark County, WA","100,000 - $199,999",29050.0,2911434.0
"Clark County, WA","$200,000 or more",7560.0,1502053.0
"Columbia County, WA",Under $1,40.0,0.0
"Columbia County, WA","1 - $9,999",220.0,1022.0
"Columbia County, WA","10,000 - $24,999",390.0,4631.0
"Columbia County, WA","25,000 - $49,999",400.0,9861.0
"Columbia County, WA","50,000 - $74,999",260.0,11456.0
"Columbia County, WA","75,000 - $99,999",180.0,9727.0
"Columbia County, WA","100,000 - $199,999",180.0,14089.0
"Columbia County, WA","$200,000 or more",30.0,2851.0
"Cowlitz County, WA",Under $1,610.0,3024.0
"Cowlitz County, WA","1 - $9,999",6070.0,24536.0
"Cowlitz County, WA","10,000 - $24,999",10190.0,129064.0
"Cowlitz County, WA","25,000 - $49,999",10370.0,278661.0
"Cowlitz County, WA","50,000 - $74,999",6720.0,302837.0
"Cowlitz County, WA","75,000 - $99,999",4670.0,302923.0
"Cowlitz County, WA","100,000 - $199,999",5060.0,472099.0
"Cowlitz County, WA","$200,000 or more",840.0,132422.0
"Douglas County, WA",Under $1,240.0,1660.0
"Douglas County, WA","1 - $9,999",2440.0,11311.0
"Douglas County, WA","10,000 - $24,999",4670.0,67058.0
"Douglas County, WA","25,000 - $49,999",4420.0,126150.0
"Douglas County, WA","50,000 - $74,999",2500.0,114577.0
"Douglas County, WA","75,000 - $99,999",1600.0,97991.0
"Douglas County, WA","100,000 - $199,999",1890.0,173989.0
"Douglas County, WA","$200,000 or more",350.0,52567.0
"Ferry County, WA",Under $1,90.0,0.0
"Ferry County, WA","1 - $9,999",460.0,2032.0
"Ferry County, WA","10,000 - $24,999",590.0,6511.0
"Ferry County, WA","25,000 - $49,999",650.0,16350.0
"Ferry County, WA","50,000 - $74,999",390.0,16043.0
"Ferry County, WA","75,000 - $99,999",260.0,16098.0
"Ferry County, WA","100,000 - $199,999",240.0,21492.0
"Ferry County, WA","$200,000 or more",50.0,5696.0
"Franklin County, WA",Under $1,320.0,4343.0
"Franklin County, WA","1 - $9,999",4390.0,21458.0
"Franklin County, WA","10,000 - $24,999",9140.0,140717.0
"Franklin County, WA","25,000 - $49,999",10230.0,322379.0
"Franklin County, WA","50,000 - $74,999",5020.0,258909.0
"Franklin County, WA","75,000 - $99,999",2930.0,207796.0
"Franklin County, WA","100,000 - $199,999",3120.0,309648.0
"Franklin County, WA","$200,000 or more",570.0,84183.0
"Garfield County, WA",Under $1,30.0,0.0
"Garfield County, WA","1 - $9,999",120.0,489.0
"Garfield County, WA","10,000 - $24,999",210.0,2315.0
"Garfield County, WA","25,000 - $49,999",220.0,5442.0
"Garfield County, WA","50,000 - $74,999",150.0,6016.0
"Garfield County, WA","75,000 - $99,999",100.0,5669.0
"Garfield County, WA","100,000 - $199,999",120.0,8711.0
"Garfield County, WA","$200,000 or more",0.0,0.0
"Grant County, WA",Under $1,500.0,3996.0
"Grant County, WA","1 - $9,999",5500.0,25663.0
"Grant County, WA","10,000 - $24,999",9770.0,140935.0
"Grant County, WA","25,000 - $49,999",11460.0,354930.0
"Grant County, WA","50,000 - $74,999",5620.0,275293.0
"Grant County, WA","75,000 - $99,999",3120.0,204255.0
"Grant County, WA","100,000 - $199,999",3250.0,301011.0
"Grant County, WA","$200,000 or more",660.0,85980.0
"Grays Harbor Count, WA",Under $1,480.0,2253.0
"Grays Harbor Count, WA","1 - $9,999",4400.0,17610.0
"Grays Harbor Count, WA","10,000 - $24,999",6930.0,84691.0
"Grays Harbor Count, WA","25,000 - $49,999",7270.0,192306.0
"Grays Harbor Count, WA","50,000 - $74,999",4360.0,191607.0
"Grays Harbor Count, WA","75,000 - $99,999",2600.0,157862.0
"Grays Harbor Count, WA","100,000 - $199,999",2540.0,226548.0
"Grays Harbor Count, WA","$200,000 or more",410.0,61751.0
"Island County, WA",Under $1,700.0,4298.0
"Island County, WA","1 - $9,999",4280.0,15690.0
"Island County, WA","10,000 - $24,999",7360.0,91887.0
"Island County, WA","25,000 - $49,999",9470.0,247146.0
"Island County, WA","50,000 - $74,999",5910.0,229400.0
"Island County, WA","75,000 - $99,999",4250.0,215498.0
"Island County, WA","100,000 - $199,999",5590.0,428879.0
"Island County, WA","$200,000 or more",1320.0,191473.0
"Jefferson County, WA",Under $1,410.0,1373.0
"Jefferson County, WA","1 - $9,999",2100.0,6745.0
"Jefferson County, WA","10,000 - $24,999",3120.0,30159.0
"Jefferson County, WA","25,000 - $49,999",3300.0,69071.0
"Jefferson County, WA","50,000 - $74,999",2250.0,70015.0
"Jefferson County, WA","75,000 - $99,999",1560.0,63706.0
"Jefferson County, WA","100,000 - $199,999",2060.0,111132.0
"Jefferson County, WA","$200,000 or more",580.0,82376.0
"King County, WA",Under $1,14650.0,148389.0
"King County, WA","1 - $9,999",115220.0,481750.0
"King County, WA","10,000 - $24,999",163980.0,2210779.0
"King County, WA","25,000 - $49,999",226900.0,6923457.0
